object_id,scene_id,date,lon,lat,old_class,ais_matched,ais_matched_raw,ais_match_quality,on_land,water_fraction,distance_to_land_m,major_m,minor_m,area_m2,aspect_ratio,confidence,vv_target_p95_db,vh_target_p95_db,vv_background_median_db,vh_background_median_db,vv_contrast_db,vh_contrast_db,combined_contrast_db,vv_minus_vh_peak_db,temporal_cluster_id,n_dates_detected,detection_persistence,bright_persistence,position_std_m,ts_median_contrast_db,ts_mad_contrast_db,ts_relative_mad,temporal_spike_db,geometry_plausible,vessel_score,final_class_3,classification_reason,review_flag
0,S01_20240602,S01_20240602,103.62003155707148,0.9275727143529776,UNCERTAIN,False,False,NONE,False,1.0,16293.95331704915,80.06318462464603,50.63102901551517,3143.2100267631563,1.5813066844861436,0.2645907998085022,3.7265625,-6.90625,-18.53125,-24.421875,22.2578125,17.515625,22.2578125,10.6328125,0,1,0.05555555555555555,0.05555555555555555,0.0,2.8359375,0.5859375,0.15274949083503056,19.421875,True,0.9885287012971902,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),False
1,S01_20240602,S01_20240602,103.78554118064854,0.9642865243069392,UNCERTAIN,False,False,NONE,False,1.0,1025.9799704324396,20.20348849412056,20.06570162888618,405.382199284288,1.006866785312706,0.3111089468002319,-7.26171875,-11.4140625,-8.1796875,-14.125,0.91796875,2.7109375,2.7109375,4.15234375,1,5,0.2777777777777778,0.0,21.61040313672874,3.220703125,0.43359375,0.10273021749190189,-0.509765625,True,0.158376174856907,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
2,S01_20240602,S01_20240602,103.77936308330833,0.9653088281319162,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,1402.358587855157,159.66020580814433,95.48529430912087,11148.058645184748,1.6720920950535667,0.4091845750808716,-6.07421875,-12.8671875,-20.265625,-25.390625,14.19140625,12.5234375,14.19140625,6.79296875,2,15,0.8333333333333334,1.0,7.545990573441358,14.84765625,0.734375,0.046339659847177715,-0.65625,True,0.37595126536967033,STATIC_OR_PROBABLE_FALSE_ALARM,high fixed temporal persistence + low vessel evidence,True
3,S01_20240602,S01_20240602,103.709665218214,0.9656478778649864,UNCERTAIN,False,False,NONE,False,1.0,7221.091292775259,420.6355102606555,305.8145263739368,90112.71120425696,1.3754595481390597,0.3139220476150512,-7.21875,-9.5859375,-10.5234375,-16.03125,3.3046875,6.4453125,6.4453125,2.3671875,3,1,0.05555555555555555,0.0,0.0,6.2724609375,0.388671875,0.05344434000268564,0.1728515625,False,0.4394306625027928,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),True
4,S01_20240602,S01_20240602,103.7660374717721,0.9658040024040464,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,2371.8248486812163,284.95835128788303,227.2334672546799,48646.55509362876,1.2540333725071666,0.3682997524738312,-7.91015625,-10.625,-10.078125,-16.34375,2.16796875,5.71875,5.71875,2.71484375,4,13,0.7222222222222222,0.0,9.246669774985556,4.203125,0.86328125,0.16591591591591592,1.515625,False,0.20530547820171707,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
5,S01_20240602,S01_20240602,103.71033659102198,0.96692000626681,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,7073.932707645189,511.4374771998198,311.89383706310105,102681.7713116076,1.639780644643991,0.7717713117599487,-7.39453125,-9.640625,-9.9140625,-14.921875,2.51953125,5.28125,5.28125,2.24609375,5,14,0.7777777777777778,0.0,13.692781337520335,5.265625,0.61328125,0.09788029925187032,0.015625,False,0.4129549766684917,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),True
6,S01_20240602,S01_20240602,103.80177497617856,0.968100053562419,PROBABLE_FALSE_ALARM,False,False,NONE,False,,122.65914739667292,,,,,0.2941087186336517,-8.390625,-12.703125,-7.6796875,-13.8515625,-0.7109375,1.1484375,1.1484375,4.3125,6,1,0.05555555555555555,0.0,0.0,2.74609375,0.751953125,0.20072992700729927,-1.59765625,True,0.00809164377224244,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
7,S01_20240602,S01_20240602,103.70659876533236,0.9686324132701536,UNCERTAIN,False,False,NONE,False,1.0,7287.477576824896,116.76144899618504,67.01859392416355,5169.578743015592,1.7422246895885218,0.4145932495594024,-8.1640625,-11.5625,-19.40625,-26.3125,11.2421875,14.75,14.75,3.3984375,7,10,0.5555555555555556,1.0,7.45472033631924,13.73046875,0.80078125,0.05436223813312119,1.01953125,True,0.6414198704610975,STATIC_OR_PROBABLE_FALSE_ALARM,high fixed temporal persistence + low vessel evidence,True
8,S01_20240602,S01_20240602,103.80002390182013,0.972038601165739,PROBABLE_FALSE_ALARM,False,False,NONE,True,,256.737999237906,,,,,0.2793763875961303,-8.015625,-11.3515625,-9.0234375,-14.2265625,1.0078125,2.875,2.875,3.3359375,8,8,0.4444444444444444,0.0,3.7384495825910666,1.791015625,0.439453125,0.15745276417074877,1.083984375,True,0.005175430104687142,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
9,S01_20240602,S01_20240602,103.77088062427109,0.974420952403053,UNCERTAIN,False,False,NONE,False,1.0,1327.1763196514685,1298.7748488002635,840.6810988002638,680946.2456640018,1.544907873691636,0.8177647590637207,-3.734375,-12.921875,-7.625,-14.1640625,3.890625,1.2421875,3.890625,9.1875,9,6,0.3333333333333333,0.0,27.815258732470845,2.234375,0.833984375,0.2578502415458937,1.65625,False,0.6899937226718371,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),False
10,S01_20240602,S01_20240602,103.8218292081592,0.9775992228323156,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,1510.9515598906785,252.37410034290875,98.62351287952984,14998.055394140223,2.5589648246578647,0.4689247906208038,-5.14453125,-12.1796875,-18.546875,-24.828125,13.40234375,12.6484375,13.40234375,7.03515625,10,13,0.7222222222222222,0.8333333333333334,6.248195496215212,12.71875,0.53125,0.0387243735763098,0.68359375,True,0.47222565221502416,STATIC_OR_PROBABLE_FALSE_ALARM,high fixed temporal persistence + low vessel evidence,True
11,S01_20240602,S01_20240602,103.7795184074043,0.979558661428174,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,237.4149366252597,335.12222080762564,184.9249704414147,42058.40718318077,1.8122064316554496,0.7924529314041138,-4.83984375,-12.046875,-9.421875,-15.3984375,4.58203125,3.3515625,4.58203125,7.20703125,11,14,0.7777777777777778,0.0,5.065247969512165,5.333984375,0.591796875,0.09343200740055504,-0.751953125,False,0.24425182089130942,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
12,S01_20240602,S01_20240602,103.81913933063116,0.9809116238157976,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,1382.6629599745447,597.9355829883988,299.8121088673051,108330.65535136136,1.9943676899755949,0.5560032725334167,-3.837890625,-10.8984375,-8.15625,-13.9921875,4.318359375,3.09375,4.318359375,7.060546875,12,15,0.8333333333333334,0.0,6.858494775019205,4.2958984375,0.5263671875,0.09939148073022312,0.0224609375,False,0.2093802231104975,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
13,S01_20240602,S01_20240602,103.81150153660684,0.9831211967187296,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,843.7046751423745,1096.346828154043,565.4511982712304,403041.35060018033,1.9388885044473056,0.7381615042686462,-4.96875,-11.34375,-7.53125,-13.9921875,2.5625,2.6484375,2.6484375,6.375,13,15,0.8333333333333334,0.0,6.269697768039706,3.12109375,0.5390625,0.13080568720379146,-0.47265625,False,0.2952523975535087,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
14,S01_20240602,S01_20240602,103.8711358516638,0.9836435617335828,PROBABLE_FALSE_ALARM,False,False,NONE,True,,2569.4723208871224,,,,,0.3140131533145904,-3.201171875,-10.1171875,-9.1328125,-15.0078125,5.931640625,4.890625,5.931640625,6.916015625,14,8,0.4444444444444444,0.0,12.605273948973421,5.6708984375,0.966796875,0.14492753623188406,0.2607421875,True,0.022761441880838017,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
15,S01_20240602,S01_20240602,103.94724737313872,0.9986538563901182,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,692.2804686719281,1139.8723452383956,307.625335961052,177699.99420002897,3.705391630625357,0.4713013172149658,-5.03125,-11.84375,-10.7890625,-15.765625,5.7578125,3.921875,5.7578125,6.8125,15,13,0.7222222222222222,0.0,24.20458300234318,5.9755859375,0.5029296875,0.07209855802883942,-0.2177734375,False,0.38914943473106817,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),True
16,S01_20240602,S01_20240602,103.77407974810708,1.0001702738437104,STATIC_MARITIME_OBJECT,False,False,NONE,False,,338.0403861679974,,,,,0.405106246471405,-4.3125,-11.1640625,-8.1796875,-14.3125,3.8671875,3.1484375,3.8671875,6.8515625,16,6,0.3333333333333333,0.0,12.910111909811818,4.357421875,0.34765625,0.06489245351804593,-0.490234375,True,0.010889616759615566,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
17,S01_20240602,S01_20240602,103.8102950433177,1.0009938070512567,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,1012.5331226392324,626.78824697451,270.5825584979475,88671.06969730264,2.31643994518318,0.8100597858428955,-6.9375,-11.5703125,-12.796875,-18.8125,5.859375,7.2421875,7.2421875,4.6328125,17,15,0.8333333333333334,0.0,21.570315359084628,7.63671875,0.609375,0.07055630936227951,-0.39453125,False,0.47562850850816835,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),True
18,S01_20240602,S01_20240602,103.82559409418153,1.0019495459461574,UNCERTAIN,False,False,NONE,False,1.0,1086.875064915139,975.0138160672584,754.7287818875708,377464.8340722853,1.2918731065598907,0.859794020652771,-7.97265625,-9.5703125,-10.484375,-16.609375,2.51171875,7.0390625,7.0390625,1.59765625,18,13,0.7222222222222222,0.0,20.344480453686614,6.263671875,0.80078125,0.11024468943264318,0.775390625,False,0.42237778734833764,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),True
19,S01_20240602,S01_20240602,103.9305604446938,1.002116711190196,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.0,725.8134077747072,160.0191843025716,67.00152225423176,4153.803530117119,2.388291771870376,0.8870458602905273,-4.078125,-11.2265625,-8.1796875,-14.1640625,4.1015625,2.9375,4.1015625,7.1484375,19,15,0.8333333333333334,0.0,5.170628495959097,4.8056640625,0.7900390625,0.136080740117746,-0.7041015625,True,0.0017242400996522536,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
20,S01_20240602,S01_20240602,103.95451889628444,1.003447401534305,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,661.0243605968587,311.6135255246138,214.10443128633253,43057.0335718708,1.4554277258646624,0.7496068477630615,5.82421875,-13.328125,-7.6015625,-17.078125,13.42578125,3.75,13.42578125,19.15234375,20,2,0.1111111111111111,0.5555555555555556,10.416393342732563,12.51171875,2.171875,0.16074009829430472,0.9140625,False,0.819642958239444,NON_AIS_SUPPORTED_VESSEL,vessel score >= calibrated threshold (0.40),False
21,S01_20240602,S01_20240602,103.9745364384523,1.0046150966371383,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.14375000000000004,183.3202154449275,446.3550980018183,195.36721348033385,59873.822495054126,2.2846980823972776,0.6479931473731995,-4.78125,-8.515625,-8.515625,-15.5703125,3.734375,7.0546875,7.0546875,3.734375,21,15,0.8333333333333334,0.0,5.478773476068392,5.619140625,0.640625,0.09678371200944232,1.435546875,False,0.0040089380424556745,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
